id,route_id,pedido_id,order,address,lat,lng,status,estimated_arrival,actual_arrival,delivery_notes,delivery_evidence,distance_from_previous,time_from_previous
ruta_1750255330612_791_1,ruta_1750255330612_791,1028,1,"Calle Álvaro Obregón 789, Metepec",19.245432,-99.605678,pending,08:02 a.m.,,,,53.764310514181545,161
ruta_1750255330612_791_2,ruta_1750255330612_791,1024,2,"Calle Doctores 567, Metepec",19.255432,-99.615678,pending,08:17 a.m.,,,,1.5292028999229659,11
ruta_1750255330612_791_3,ruta_1750255330612_791,1016,3,"Calle Madero 789, Metepec",19.275432,-99.635678,pending,08:32 a.m.,,,,3.0582739710802636,15
ruta_1750255330612_791_4,ruta_1750255330612_791,1020,4,"Calle Cuauhtémoc 123, Metepec",19.265432,-99.625678,pending,08:47 a.m.,,,,1.5291150092105028,11
ruta_1750255330612_791_5,ruta_1750255330612_791,1008,5,"Calle Hidalgo 456, Metepec",19.278456,-99.645123,pending,09:02 a.m.,,,,2.502611245553454,14
ruta_1750255330626_620_1,ruta_1750255330626_620,1029,1,"Av. Vasco de Quiroga 234, CDMX",19.465432,-99.175678,pending,08:02 a.m.,,,,5.758859464045314,17
ruta_1750255330626_620_2,ruta_1750255330626_620,1017,2,"Av. Universidad 234, CDMX",19.495432,-99.145678,pending,08:17 a.m.,,,,4.584561580344397,20
ruta_1750255330636_841_1,ruta_1750255330636_841,1018,1,"Calle Guerrero 567, Satelite",19.355432,-99.185678,pending,08:02 a.m.,,,,10.194322328510987,31
ruta_1750255330636_841_2,ruta_1750255330636_841,1030,2,"Calle Francisco I. Madero 567, Satelite",19.355432,-99.225678,pending,08:17 a.m.,,,,4.196410888206785,19
ruta_1750255330636_841_3,ruta_1750255330636_841,1022,3,"Calle Benito Juárez 789, Satelite",19.375432,-99.205678,pending,08:32 a.m.,,,,3.0573928066439486,15
ruta_1750255330636_841_4,ruta_1750255330636_841,1010,4,"Calle Morelos 789, Satelite",19.365432,-99.210987,pending,08:47 a.m.,,,,1.2436189751978415,10
